State,Slope
Alabama,189.2334651
Alaska,7.658429858
Arizona,196.7084567
Arkansas,82.28527132
California,1052.204511
Colorado,347.080724
Connecticut,742.1901943
Delaware,135.7458188
Florida,860.4731633
Georgia,659.4042857
Hawaii,13.62523252
Idaho,49.61801619
Illinois,1283.432045
Indiana,472.6545455
Iowa,195.6931367
Kansas,117.09606
Kentucky,126.3095741
Louisiana,731.5457143
Maine,26.82683737
Maryland,574.3646623
Massachusetts,1392.22448
Michigan,1065.072618
Minnesota,122.0575758
Mississippi,178.4863284
Missouri,214.6189126
Montana,8.871758398
Nebraska,139.4478764
Nevada,129.7902503
New Hampshire,58.26245847
New Jersey,2983.81449
New Mexico,95.80947467
New York,6747.84042
North Carolina,265.9456676
North Dakota,32.54145658
Ohio,468.8670984
Oklahoma,98.24041812
Oregon,61.57760211
Pennsylvania,1225.32729
Rhode Island,248.6118629
South Carolina,156.6152833
South Dakota,85.92464986
Tennessee,269.7665742
Texas,717.1801455
Utah,118.0049331
Vermont,20.04418386
Virginia,404.0199815
Washington,304.4410163
"Washington, D.C.",119.7159468
West Virginia,32.77258687
Wisconsin,163.5662581
Wyoming,14.71016043